歌名,时间,歌手,专辑名字,歌单名称
四尾连湖 夜明けの森,41:29:00,Natural Garden,自然の音色 - Sounds of Nature,倾听大自然??·??轻音乐狂想曲
Midnight By A Stream Of The Hacking River,69:59:00, Jeremy Hegge,(Autumn) Midnight By A Stream Of The Hacking River,倾听大自然??·??轻音乐狂想曲
Sleep at the Water's Edge,4:00,Nature Sounds Sleep,Natural Simplicity,倾听大自然??·??轻音乐狂想曲
Tree Top Birds,3:44,Nature Sounds Sleep,Woodland Lullabies,倾听大自然??·??轻音乐狂想曲
Wood Stream,3:35,Nature Sounds Sleep,Nature's Freedom,倾听大自然??·??轻音乐狂想曲
Stream with Birds,3:04,Nature Sounds Sleep,Sleep in the Rainfall,倾听大自然??·??轻音乐狂想曲
Start of the River,3:31,Ambient Nature Sounds,Forest & Nature Sounds,倾听大自然??·??轻音乐狂想曲
Birdsong at the Waterside,3:55,Ambient Nature Sounds,Natural Zen Sounds,倾听大自然??·??轻音乐狂想曲
Fork in the Stream,4:02,Ambient Nature Sounds,Natural Recordings for Rest,倾听大自然??·??轻音乐狂想曲
Old Town Road,3:24,D. Wills,Old Town Road,玩游戏专属BGM
Horizons,3:17,Janji,Outertone 003 - Vision,玩游戏专属BGM
Neon Rainbow (feat. Anna Yvette),4:12,Rameses B/Anna Yvette,Monstercat 027 - Cataclysm,玩游戏专属BGM
Avicii-Waiting For Love (Bootleg)（9ZTQS remix）,4:00,Dark,Waiting For Love,玩游戏专属BGM
aLIEz (TV size) - (TV动画《ALDNOAH.ZERO》片尾曲2 ),1:32,瑞葵/SawanoHiroyuki[nZk],A/Z | aLIEz,玩游戏专属BGM
She Sexy (Dendix Remix),4:22,Dendix,She **** (Dendix Remix),玩游戏专属BGM
Pure Sunlight,5:37,Laura Brehm/Mr FijiWiji/AgNo3,Monstercat - 3 Year Anniversary,玩游戏专属BGM
Blame,3:27,Calvin Harris,"Mujeres y Hombres y Viceversa, Vol 6",玩游戏专属BGM
Come Back For You (Morgan Page Remix),2:58,Morgan Page/Elephante,Come Back For You (Morgan Page Remix),玩游戏专属BGM
Sweet but Psycho (L & R Remix),3:42,Sephora/L & R,Sweet but Psycho (L & R Remix),玩游戏专属BGM
地铁等待,3:03,VY/爆音BOOM/黑崎子,地铁等待,丧|我把你的模样写进了网易云评论里
断线,4:17,Shang/lil sophy,断线,丧|我把你的模样写进了网易云评论里
多想,3:30,九千七,九千七原创集,丧|我把你的模样写进了网易云评论里
水星记,5:25,郭顶,飞行器的执行周期,丧|我把你的模样写进了网易云评论里
孤身,3:31,徐秉龙,孤身,丧|我把你的模样写进了网易云评论里
有机会一起淋个雨,2:39,苦爱酒,有机会，一起淋雨呀 ヽ｀ヽ｀、 ヽ,丧|我把你的模样写进了网易云评论里
嚣张,4:13,en,嚣张,丧|我把你的模样写进了网易云评论里
我走后,4:08,小咪,我走后,丧|我把你的模样写进了网易云评论里
即兴,3:32,小咪,即兴,丧|我把你的模样写进了网易云评论里
可乐,5:45,赵紫骅,赵浴辰原创demo精选,丧|我把你的模样写进了网易云评论里
I Tell Myself,3:11,Peter Bradley Adams,Traces,欧美民谣丨散文诗般的情绪荡漾我心
The Scientist,5:02,Willie Nelson,The Scientist,欧美民谣丨散文诗般的情绪荡漾我心
Just Another,3:13,Pete Yorn,Musicforthemorningafter  (Sony 180g Dbl LP),欧美民谣丨散文诗般的情绪荡漾我心
My Apologies,4:34,Isbells,Isbells,欧美民谣丨散文诗般的情绪荡漾我心
In the Silence,3:13,Sarah Kroger,Your Time,欧美民谣丨散文诗般的情绪荡漾我心
Bird of Sorrow,5:50,Glen Hansard,Rhythm And Repose,欧美民谣丨散文诗般的情绪荡漾我心
Someone Else,3:04,Duncan Laurence,Worlds On Fire,欧美民谣丨散文诗般的情绪荡漾我心
