歌名,时间,歌手,专辑名字,歌单名称
Good Time,3:25,Owl City/Carly Rae Jepsen,Good Time,欧美| 流行轻有氧
"Liebestr??ume, S541/R211:No. 3. Nocturne in A-Flat Major",4:59,Shin-Heae Kang,"LISZT, F.: Liebestr??ume No. 3 / Grandes ??tudes de Paganini / Consolations No. 3 / Après une lecture du Dante (Kaleidoscope) (Shin-Heae Kang)",口袋珍藏 | 必听的五十首古典音乐精选
Suite bergamasque:III. Clair de lune,5:28,Marita Viitasalo,"Debussy: Préludes, Book 2, L. 123 & Suite bergamasque, L. 75",口袋珍藏 | 必听的五十首古典音乐精选
"The Nutcracker Suite, Op. 71a:VI. Chinese Dance",1:08,Roger Norrington/South West German Radio Symphony Orchestra,"TCHAIKOVSKY, P.: Symphony No. 5 / The Nutcracker Suite (South West German Radio Symphony, Norrington)",口袋珍藏 | 必听的五十首古典音乐精选
"Symphony No. 5 in C Minor, Op. 67:I. Allegro con brio",7:01,Bavarian Radio Symphony Orchestra/Mariss Jansons,"HANDSTEIN, J.: Beethoven - Freiheit über alles / BEETHOVEN, L. van: Symphony No. 5 / Piano Sonata No. 1 (Gorlatch, Bavarian Radio Symphony, Jansons)",口袋珍藏 | 必听的五十首古典音乐精选
"String Quartet in C Major, Op. 76 No. 3, Hob. III:77 ""Emperor"": IV. Finale",5:59,Chiaroscuro Quartet,Haydn: String Quartets Op. 76 Nos. 1-3,口袋珍藏 | 必听的五十首古典音乐精选
"Piano Sonata No. 11 in A Major, K. 331:I. Theme and Variations: Andante grazioso",15:05,Jennifer Lim,"MOZART, W.A.: Piano Sonatas Nos. 11, 12 and 16 (Jennifer Lim)",口袋珍藏 | 必听的五十首古典音乐精选
"Peer Gynt Suite No. 1, Op. 46:IV. In the Hall of the Mountain King",2:25,Neville Marriner/Academy of St. Martin in the Fields Orchestra,"GRIEG: Peer Gynt, Suite No. 1, Op. 46 / Suite No. 2, Op. 55 / Holberg Suite, Op. 40",口袋珍藏 | 必听的五十首古典音乐精选
"The Planets, Op. 32:IV. Jupiter, the Bringer of Jollity",8:28,BBC Philharmonic Orchestra,"HOLST, G.: Orchestral Works, Vol. 2 - The Planets / Beni Mora / Japanese Suite (A. Davis)",口袋珍藏 | 必听的五十首古典音乐精选
"Waltz No. 6 in D-Flat Major, Op. 64, No. 1, ""Minute""",1:56,Lidia Grychtolowna,"CHOPIN, F.: Piano Concerto No. 2 / Waltzes - Nos. 1, 2 , 4 , 5, 6, 7 / Nocturne No. 4 / Scherzo No. 2",口袋珍藏 | 必听的五十首古典音乐精选
Gianni Schicchi:O mio babbino caro (Lauretta),2:29,Francesca Longari,"PUCCINI, G.: Gianni Schicchi [Opera] (B. de Simone, Chiuri, Longari, Monaco, Garés, Fiorentino Maggio Musicale Orchestra, V. Galli)",口袋珍藏 | 必听的五十首古典音乐精选
形容,3:45,沈以诚,初遇,L海洋（人性本凉薄，又何介谁比谁更多）
只对你有感觉,3:31,要不要买菜,只对你有感觉,L海洋（人性本凉薄，又何介谁比谁更多）
画 (翻自 G.E.M.邓紫棋),2:47,饭思思,画,L海洋（人性本凉薄，又何介谁比谁更多）
阿司匹林,3:22,王以太,演.说.家,L海洋（人性本凉薄，又何介谁比谁更多）
画画的Baby,1:39,姚广南,画画的Baby,L海洋（人性本凉薄，又何介谁比谁更多）
水星记,5:25,郭顶,飞行器的执行周期,L海洋（人性本凉薄，又何介谁比谁更多）
给你给我,4:01,毛不易,平凡的一天,L海洋（人性本凉薄，又何介谁比谁更多）
全部都是你（翻自 Davis.x）,3:28,慕晨,晨风,L海洋（人性本凉薄，又何介谁比谁更多）
王巨星-愿你安好（FOMY remix）,3:55,FOMY,愿你安好,L海洋（人性本凉薄，又何介谁比谁更多）
归暑,3:08,SUIYU,归暑,L海洋（人性本凉薄，又何介谁比谁更多）
Summertime Sadness（翻自 Lana Del Rey）,2:00,丧甜老爹,Electronic Music,深 夜 网 抑 云
Maga-Such a Whore（Maga remix）,2:16,Maga,Such a Whore,深 夜 网 抑 云
Ke Cap Gap Ba Gia,3:41,DJMuchY,Ke Cap Gap Ba Gia,深 夜 网 抑 云
Diamonds,3:14,Roberto Kan,Diamonds,深 夜 网 抑 云
A.H.A.M,4:07,D-Groov/Dan Lypher,A.H.A.M,深 夜 网 抑 云
B.O.S.S. (Original Mix),3:08,L.O.O.P/VINNE,B.O.S.S.,深 夜 网 抑 云
Smoke,3:19,aEZi,Smoke,深 夜 网 抑 云
Mans Not Hot (Deep),4:08,GRABOTE/Enes Yurtlu/Big Shaq,Mans Not Hot (Deep ),深 夜 网 抑 云
Anh Kh_ng Làm Gì __u Anh Th_ mash up,3:15,DJ Bmaster,Anh Kh_ng Làm Gì __u Anh Th_ mash up,深 夜 网 抑 云
XXXTENTACION-Moonlight (Remix) (Bass Boosted)（XXXTENTACION remix）,3:39,DruGTRaffickerS,Bootleg,深 夜 网 抑 云
Euphoria,4:28,The Last Sighs Of The Wind,We Are Trees,Post-Rock｜晒不干的心房
The Return Of Thunder,6:05,The Last Sighs Of The Wind,We Are Trees,Post-Rock｜晒不干的心房
Your Wave Caresses Me,4:48,The Last Sighs Of The Wind,We Are Trees,Post-Rock｜晒不干的心房
迷夜 Pt.I,7:05,Dopamine,Dopamine,Post-Rock｜晒不干的心房
水棱,7:24,Dopamine,Dopamine,Post-Rock｜晒不干的心房
Maze,7:02,An Ocean Of Lights,Maze,Post-Rock｜晒不干的心房
My Dead Sea,3:23,Break My F**king Sky/Andrey Ivashenko,My Dead Sea,Post-Rock｜晒不干的心房
Till Death Do You Part,4:14,Break My ****ing Sky,Till Death Do You Part,Post-Rock｜晒不干的心房
她,5:09,文雀,迷路记,Post-Rock｜晒不干的心房
宿醉之星 - (Drunk Star),7:41,琥珀,宿醉之星,Post-Rock｜晒不干的心房
如此可爱的我们 - (电视剧 《如此可爱的我们》主题曲),4:12,阎其儿Jill,如此可爱的我们 电视原声音乐专辑,如此可爱的我们
A Sad Me In Your Eyes,4:18,昨夜派对（L.N Party）,A Sad Me In Your Eyes,如此可爱的我们
明天可以见到你吗？（电视剧《如此可爱的我们》插曲）,3:15,快乐男孩Joy Fresh/JellyPhi$h,明天可以见到你吗？（电视剧《如此可爱的我们》插曲）,如此可爱的我们
路过你的青春,3:56,歌之初乐队,路过你的青春,如此可爱的我们
圈住你,2:58,一口甜,圈住你,如此可爱的我们
星上人 - (电视剧 《如此可爱的我们》插曲),4:50,陆杰,如此可爱的我们 电视原声音乐专辑,如此可爱的我们
那年,5:20,任然,那年,如此可爱的我们
那年初夏,5:12,任然,禁猎社 同名专辑,如此可爱的我们
那年初夏,5:10,任然,禁猎社NO.1,如此可爱的我们
那年初夏,5:10,任然,毕业了我们一无所有 原声大碟,如此可爱的我们
I Told You,3:40,Fan/小白羊HUSH,I Told You,20200524
van girls don cry 梵高别哭,3:17,凌LING,van girls don cry 梵高别哭,20200524
你让我宛如新生,2:04,马赫mood/J-FORCE,你让我宛如新生,20200524
Faith,2:15,ArthurX,Faith,20200524
Hello,2:28,LiL GoDD,Hypnotize,20200524
Back To 2020,3:11,王嗣尧TURBO/REGI陈彦希/Gosh Music,Back To 2020,20200524
一样 (Interlude),2:01,YvngCoco,TRIP,20200524
Unconscious,2:14,ArthurX/Billionhappy,Birth By Dream 梦中降生,20200524
车水马龙没关系 [prod by Fantom],3:10,河南说唱之神,NEW WAVE,20200524
Spyro,3:15,Cold Hart,SPYRO,20200524
Ride It,2:37,Regard,Ride It,车载嗨曲 开车靠的是感觉、不是眼睛 ??
Say My Name,3:30,Sharapov/Veselina Popova,Say My Name,车载嗨曲 开车靠的是感觉、不是眼睛 ??
All The Way Up (Ablaikan Remix),2:53,Ablaikan,All The Way Up (Ablaikan Remix),车载嗨曲 开车靠的是感觉、不是眼睛 ??
Road Gang,2:42,WYR GEMI,Road Gang,车载嗨曲 开车靠的是感觉、不是眼睛 ??
Губы мёд,4:01,ЭGO,Губымёд,车载嗨曲 开车靠的是感觉、不是眼睛 ??
Вите Надо Выи??ти,3:24,ESTRADARADA,Вите Надо Выйти,车载嗨曲 开车靠的是感觉、不是眼睛 ??
Малиновый свет,3:07,Lesha Svik,Малиновый свет,车载嗨曲 开车靠的是感觉、不是眼睛 ??
No Promises (Delta Jack Remix),3:08,Delta Jack/Cheat Codes/Demi Lovato,No Promises (Delta Jack Remix),车载嗨曲 开车靠的是感觉、不是眼睛 ??
你走 - (原唱：松紧先生（李宗锦）),4:09,Cheng橙zzzz,你走（完整版）,玩最伤感的边路
江南（翻自 林俊杰）,0:24,卢卢快闭嘴,江南,玩最伤感的边路
我的宝贝（翻自 范文夺）（翻自 范文夺）,0:40,Memtimin-Matrozi,尚士达（尚Six）,玩最伤感的边路
秋天不回来（翻自 王强）,0:40,Bater official,迷人的危险,玩最伤感的边路
曹操（抖音版）（翻自 林俊杰）,0:47,旺仔小乔,cover 1,玩最伤感的边路
那些你很冒险的梦（翻自 林俊杰）,0:35,是你的垚,那些你很冒险的梦,玩最伤感的边路
关键词（女版）（翻自 林俊杰）,0:37,坠,关键词（女版）（翻自 林俊杰）,玩最伤感的边路
手心的蔷薇（翻自 群星）,0:31,斯居居,手心的蔷薇,玩最伤感的边路
我走后（翻自 小咪）,0:53,千里狗,Cover 8,玩最伤感的边路
幸福了 然后呢（翻自 A-Lin）,0:15,吴炳文Cookie,翻唱作品,玩最伤感的边路
YOL BARGIN《寻觅》,4:21,Abdulla Abdurehim 阿不都拉,TANHA SOYGU《孤独的爱》2005,Abdulla Abdurehim 阿不都拉
Sehra《乡村》,3:35,Abdulla Abdurehim 阿不都拉/Shahnaz Abdulla,Sehra《乡村 》 (2008年),Abdulla Abdurehim 阿不都拉
Wapa Kuyi《爱曲》,3:30,Abdulla Abdurehim 阿不都拉/Amina Omar,Sen Mining Behtim《你是我的幸福》,Abdulla Abdurehim 阿不都拉
ANARHAN《阿娜尔罕》2013 维语版,2:28,Abdulla Abdurehim 阿不都拉,ANARHAN《阿娜尔罕》2013版,Abdulla Abdurehim 阿不都拉
Senmining Behtim《你是我的幸福》,3:31,Abdulla Abdurehim 阿不都拉,Sen Mining Behtim《你是我的幸福》,Abdulla Abdurehim 阿不都拉
Nigarga soz 《致情人》2011,3:54,Abdulla Abdurehim 阿不都拉,Nigarga soz《致情人》2011,Abdulla Abdurehim 阿不都拉
Nigarim (恋人),4:01,Abdulla Abdurehim 阿不都拉,Nigarim《恋人》,Abdulla Abdurehim 阿不都拉
Untalmidim - 《忘不了》,4:13,Abdulla Abdurehim 阿不都拉,Untalmidim《忘不了》2011版,Abdulla Abdurehim 阿不都拉
Kulpet -《心伤》2013版,4:18,Abdulla Abdurehim 阿不都拉,Aman Bolsun 祷安歌 (2013年版),Abdulla Abdurehim 阿不都拉
TANHA SOYGU《孤独的爱》,4:49,Abdulla Abdurehim 阿不都拉,TANHA SOYGU《孤独的爱》2005,Abdulla Abdurehim 阿不都拉
无人之岛,4:45,任然,没有发生的爱情,粉雾海 易烊千玺
朋友的话 (易烊千玺),0:18,易烊千玺,朋友请听好 倒带精选特辑02,粉雾海 易烊千玺
朋友请听好 (易烊千玺版) - (综艺《朋友请听好》主题曲),3:50,易烊千玺/朋友请听好,朋友请听好 (易烊千玺版),粉雾海 易烊千玺
昨天的你的现在的未来,4:14,易烊千玺,梦想摩天楼,粉雾海 易烊千玺
精彩才刚刚开始 - (天猫双11十年主题曲),3:47,易烊千玺,精彩才刚刚开始,粉雾海 易烊千玺
有可能的夜晚 - (原唱：曾轶可),4:36,颜人中,有可能的夜晚,粉雾海 易烊千玺
三角题,4:25,二珂,带着音乐去旅行,粉雾海 易烊千玺
最美情侣,4:01,白小白,最美情侣,粉雾海 易烊千玺
南方的我，北方的你,2:56,王般若,南方的我，北方的你,粉雾海 易烊千玺
空山新雨后,2:53,音阙诗听/锦零,空山新雨后,粉雾海 易烊千玺
与你常在,4:58,陈奕迅/eason and the duo band,L.O.V.E.,陈奕迅线上演唱会20200711
与我常在 (Live),5:25,陈奕迅,Get A Life 演唱会,陈奕迅线上演唱会20200711
与我常在(Live),5:39,陈奕迅,DUO 陈奕迅2010演唱会,陈奕迅线上演唱会20200711
天使的礼物,3:26,陈奕迅,英皇冠军精选,陈奕迅线上演唱会20200711
黄金时代,4:09,陈奕迅,"68'29""",陈奕迅线上演唱会20200711
太阳照常升起,3:50,陈奕迅,H??M,陈奕迅线上演唱会20200711
相信你的人 - (电影《银河补习班》推广曲),4:34,陈奕迅,相信你的人,陈奕迅线上演唱会20200711
幸灾乐祸,3:26,陈奕迅,陈奕迅48首选,陈奕迅线上演唱会20200711
幸灾乐祸 (Live),3:41,陈奕迅,Get A Life 演唱会,陈奕迅线上演唱会20200711
你给我听好,4:48,陈奕迅,rice & shine,陈奕迅线上演唱会20200711
重启,5:20,张韶涵,重启之极海听雷OST,重启之极海听雷 网剧原声带
无限,4:14,周深,重启之极海听雷OST,重启之极海听雷 网剧原声带
重启,4:15,朱一龙,重启之极海听雷OST,重启之极海听雷 网剧原声带
铁三角,3:04,朱一龙/陈明昊/黄俊捷,重启之极海听雷OST,重启之极海听雷 网剧原声带
往下跳,5:52,朱一龙,重启之极海听雷OST,重启之极海听雷 网剧原声带
王胖子,4:09,陈明昊/小老虎,重启之极海听雷OST,重启之极海听雷 网剧原声带
无途,4:23,李常超 (Lao干妈),重启之极海听雷OST,重启之极海听雷 网剧原声带
冒险,3:35,毛晓彤,重启之极海听雷OST,重启之极海听雷 网剧原声带
暗光,3:46,赵方婧,重启之极海听雷OST,重启之极海听雷 网剧原声带
星闪闪,3:55,瞿颖,重启之极海听雷OST,重启之极海听雷 网剧原声带
画心,5:03,常静,十指弹一,百首古筝：琴弦微动，余音绕梁
云水禅心（古筝）,4:57,王小赛,云水禅心,百首古筝：琴弦微动，余音绕梁
云水逸,3:32,张晓红,古筝笛-泛爱众,百首古筝：琴弦微动，余音绕梁
云裳诉,11:54,袁莎,云裳诉,百首古筝：琴弦微动，余音绕梁
秦桑曲,5:50,李炜,魔筝之缘断,百首古筝：琴弦微动，余音绕梁
南山南（古筝）,4:16,玉面小嫣然,南山南（古筝）,百首古筝：琴弦微动，余音绕梁
幽谷飞泉,10:05,新韵传音,醉菩提 (古筝乐境系列),百首古筝：琴弦微动，余音绕梁
暗香,5:14,王中山,古筝类-溟山(王中山古筝专辑一),百首古筝：琴弦微动，余音绕梁
心字成灰,5:24,徒有琴,独坐幽篁,百首古筝：琴弦微动，余音绕梁
月儿高,9:03,林玲,南派古筝精髓-寒鸭戏水,百首古筝：琴弦微动，余音绕梁
第三人称,4:29,买辣椒也用券,第三人称,华语流行｜歌荒者必备良药
陪你去流浪,4:34,薛之谦,尘,华语流行｜歌荒者必备良药
无人之岛,4:45,任然,没有发生的爱情,华语流行｜歌荒者必备良药
知足,4:16,五月天,知足 最真杰作选,华语流行｜歌荒者必备良药
再回首,4:16,姜育恒,不朽金曲精选 Ⅰ,华语流行｜歌荒者必备良药
孤独她呀,4:05,二珂,孤独她呀,华语流行｜歌荒者必备良药
苦橙,5:12,RAiNBOW计划/林力尧,橙,华语流行｜歌荒者必备良药
假如,3:19,杜丽莎,若你要离开我,华语流行｜歌荒者必备良药
借,4:03,毛不易,平凡的一天,华语流行｜歌荒者必备良药
抽离,4:18,徐良/刘丹萌,情话,华语流行｜歌荒者必备良药
快乐环岛 (live),3:52,TFBOYS,2015江苏卫视新年演唱会,TFBOYS「日光旅行」七周年演唱会
心跳 (Live),1:43,TFBOYS,翻唱歌曲,TFBOYS「日光旅行」七周年演唱会
梦想起航,3:31,TFBOYS,梦想星搭档 第二季,TFBOYS「日光旅行」七周年演唱会
加油！AMIGO,4:17,TFBOYS,2017年中央电视台中秋晚会,TFBOYS「日光旅行」七周年演唱会
不息之河,3:45,TFBOYS,不息之河,TFBOYS「日光旅行」七周年演唱会
恋西游 - (动画片《梦幻西游2》主题曲),4:30,TFBOYS,梦幻西游 电脑版同人曲,TFBOYS「日光旅行」七周年演唱会
星空物语,4:25,TFBOYS,翻唱歌曲,TFBOYS「日光旅行」七周年演唱会
爱,1:28,TFBOYS,翻唱歌曲,TFBOYS「日光旅行」七周年演唱会
歌曲：我和2035有个约,3:33,TFBOYS,2018年中央电视台春节联欢晚会,TFBOYS「日光旅行」七周年演唱会
同一秒快乐,3:34,TFBOYS,同一秒快乐,TFBOYS「日光旅行」七周年演唱会
Monopoly,3:48,HyperSlash,Monopoly (Single),一起来跳舞好吗
昆明,4:09,麻园诗人,昆明,一起来跳舞好吗
黑夜传说,4:32,麻园诗人,不爱说话的人,一起来跳舞好吗
左边的鱼,4:18,麻园诗人,不爱说话的人,一起来跳舞好吗
母星,4:27,麻园诗人,母星,一起来跳舞好吗
远行万里,4:24,麻园诗人,远行万里,一起来跳舞好吗
愿与,4:14,麻园诗人,愿与,一起来跳舞好吗
榻榻米,4:58,麻园诗人,不爱说话的人,一起来跳舞好吗
没有人能够比我们更接近对方,6:10,声音玩具,没有人能够比我们更接近对方,一起来跳舞好吗
你的城市,5:59,声音玩具,你的城市,一起来跳舞好吗
Angkor Wat Theme I,2:12,Michael Galasso,花样年华 原声大碟,【安静的夜晚】爵士地下酒吧的灵魂乐
Angkor Wat Theme II,2:05,Michael Galasso,花样年华 原声大碟,【安静的夜晚】爵士地下酒吧的灵魂乐
Angkor Wat Theme Finale,2:41,Michael Galasso,花样年华 原声大碟,【安静的夜晚】爵士地下酒吧的灵魂乐
Yumeji's Theme (Extented Version),3:05,默林茂,花样年华 原声大碟,【安静的夜晚】爵士地下酒吧的灵魂乐
Aquellos Ojos Verdes,2:12,Nat King Cole,花样年华 原声大碟,【安静的夜晚】爵士地下酒吧的灵魂乐
Lili Marleen.,2:59,Marlene Dietrich,The Essential Marlene Dietrich,【安静的夜晚】爵士地下酒吧的灵魂乐
Siboney,2:58,默林茂,2046 电影原声大碟,【安静的夜晚】爵士地下酒吧的灵魂乐
Perfidia,3:02,Arielle Dombasle,Amor Amor,【安静的夜晚】爵士地下酒吧的灵魂乐
Perfidia,2:20,Nat King Cole,A Mis Amigos (Expanded Edition),【安静的夜晚】爵士地下酒吧的灵魂乐
My Funny Valentine,3:20,Carly Simon,My Romance,【安静的夜晚】爵士地下酒吧的灵魂乐
偏爱 - (电视剧《仙剑奇侠传三》插曲),3:33,张芸京,爱情部落格 情歌精选辑,歌治愈着你那?? 满含泪水的眼睛
奶茶加糖,3:52,贰茉儿EMO,奶茶加糖,歌治愈着你那?? 满含泪水的眼睛
烟火 - (电视剧《旋风少女》插曲),3:51,陈翔,MY STAGE 我的舞台,歌治愈着你那?? 满含泪水的眼睛
流浪者,3:27,星耀枫,流浪者,歌治愈着你那?? 满含泪水的眼睛
?? ?? - (Bingo),3:12,乌龟组合,Turtles 3,歌治愈着你那?? 满含泪水的眼睛
LOVE SCENARIO,3:31,iKON,RETURN,歌治愈着你那?? 满含泪水的眼睛
后会无期,3:43,十豆彡,后会无期,歌治愈着你那?? 满含泪水的眼睛
天后,4:48,刘力扬,漾 旅途心歌自选辑,歌治愈着你那?? 满含泪水的眼睛
桃花诺 - (电视剧《上古情歌》片尾曲),3:39,G.E.M.邓紫棋,上古情歌 电视剧原声带,歌治愈着你那?? 满含泪水的眼睛
钟无艳,4:36,谢安琪,3/8(新歌+精选),歌治愈着你那?? 满含泪水的眼睛
Gul Sanam,4:17,Bahtiyar-Tayir,Gul Sanam,BahtiyarTayir拜合提亚尔
Qidamdigansan&你能容忍吗,4:51,Zulmire-Mirzahmat/Bahtiyar-Tayir,Qidamdigansan&你能容忍吗,BahtiyarTayir拜合提亚尔
kaquralmayman&我不能原谅你,3:43,Bahtiyar-Tayir,kaquralmayman&我不能原谅你,BahtiyarTayir拜合提亚尔
Soyumluk Edimgu,4:17,Bahtiyar-Tayir,Soyumluk Edimgu&离别的告白,BahtiyarTayir拜合提亚尔
Sansizmu&没有你,4:30,Zulmire-Mirzahmat/Bahtiyar-Tayir,Sansizmu&没有你,BahtiyarTayir拜合提亚尔
Yiglimigin&不要流泪,4:44,Zulmire-Mirzahmat/Bahtiyar-Tayir,Yiglimigin&不要流泪,BahtiyarTayir拜合提亚尔
Yahxi Koriman Da&请说我爱你,4:18,Bahtiyar-Tayir,Yahxi Koriman Da&请说我爱你,BahtiyarTayir拜合提亚尔
Kara Axik&黑色爱情,4:17,Bahtiyar-Tayir,Kara Axik&黑色爱情,BahtiyarTayir拜合提亚尔
Gulum&爱人,4:01,Bahtiyar-Tayir,Armanim &我的愿望,BahtiyarTayir拜合提亚尔
Armanim&我的愿望,5:54,Bahtiyar-Tayir,Armanim &我的愿望,BahtiyarTayir拜合提亚尔
耍狠用最温柔的方式,3:55,KOZAY/法老,天时 PART. I . 人,我的背影如飞掀起了大雾??
TALKING **** FREESTYLE REMIX,2:20,Credit,TALKING FREESTYLE REMIX,我的背影如飞掀起了大雾??
帕克特（PACT） - 答案的答案 remix(Shout Out To 帕克特),3:36,Young Gmii/帕克特（PACT）,穆罕MURDER,我的背影如飞掀起了大雾??
光,4:16,Kigga,AYAMAYA,我的背影如飞掀起了大雾??
汽油,3:04,黄硕N-Bomb,汽油,我的背影如飞掀起了大雾??
FlashBack,2:34,艾福杰尼/C-Low,说唱阵地 叁,我的背影如飞掀起了大雾??
你看得见,2:47,Jony J,你看得见,我的背影如飞掀起了大雾??
拔刀出鞘,2:55,Green Soldier/Double C/黄硕N-Bomb,拔刀出鞘,我的背影如飞掀起了大雾??
让我RAP,4:29,MC Hotdog,Mc Hotdog 同名EP,我的背影如飞掀起了大雾??
叩卡遛 (Feat. MC HotDog热狗),3:34,江静（呆宝静）/MC Hotdog,挺好的 江静,我的背影如飞掀起了大雾??
She Sexy (Dendix Remix),4:22,Dendix,She **** (Dendix Remix),李信节奏战歌/我！就是太阳！
U Make Me (Natan Chaim & Asketa Remix),2:36,Disco Fries/Raquel Castro/Asketa & Natan Chaim,U Make Me (Remixes),李信节奏战歌/我！就是太阳！
Come Back For You (Morgan Page Remix),2:58,Morgan Page/Elephante,Come Back For You (Morgan Page Remix),李信节奏战歌/我！就是太阳！
ninelie(Easylistening),2:21,徐梦圆,罪恶王冠/甲铁城（徐梦圆Remix）,李信节奏战歌/我！就是太阳！
Alone,4:33,Marshmello,Alone,李信节奏战歌/我！就是太阳！
Funk You (Extended Mix),4:05,PBH/Jack Shizzle/AFISHAL,Funk You,李信节奏战歌/我！就是太阳！
50 Cent-P.I.M.P（AEZR / Neth MG / 左宗辉 remix）,5:29,王英涛/Neth MG/GneHHHc,50 Cent - P.I.M.P (NethMG Remix),李信节奏战歌/我！就是太阳！
Breathe,3:45,EMBRZ,Breathe,李信节奏战歌/我！就是太阳！
YKEY-独行侠+他+爱如潮水（sea蕊 / Cookie L remix）,1:12,sea蕊/吴炳文Cookie,独行侠+他+爱如潮水,李信节奏战歌/我！就是太阳！
Pure Sunlight,5:37,Mr FijiWiji/Laura Brehm,Monstercat 018 - Frontier,李信节奏战歌/我！就是太阳！
Mess Me Up,3:21,Natania,Mess Me Up,【七夕情人节】风花雪月里的Trap派对
Made Of Time,2:57,Kill Paris/Trove/Emily Vaughn,Made of Time,【七夕情人节】风花雪月里的Trap派对
Overflow,3:36,SMLE/Helen Tess,Overflow (feat. Helen Tess),【七夕情人节】风花雪月里的Trap派对
Love For You,3:20,Jordan Jay,Love For You,【七夕情人节】风花雪月里的Trap派对
Sleep In My Shirt,2:14,The Kid Fraze/Cafe Disko/Chason,Sleep In My Shirt,【七夕情人节】风花雪月里的Trap派对
Going Under (Original Mix),3:48,TELYKast/Lauren Vogel,Going Under,【七夕情人节】风花雪月里的Trap派对
Deep Blue (feat. Monika Santucci),3:21,William Black/Monika Santucci,Pages,【七夕情人节】风花雪月里的Trap派对
Follow Your Heart,3:24,Bvrnout/Cadence Ludden/KROMATIKS,Follow Your Heart (feat. Cadence Ludden),【七夕情人节】风花雪月里的Trap派对
By Your Side,2:51,Magnus/Aviella Winder,By Your Side,【七夕情人节】风花雪月里的Trap派对
Under the Covers,3:08,WOLFE/Emma Sameth,Under The Covers (feat. Emma Sameth),【七夕情人节】风花雪月里的Trap派对
Time - (电影《盗梦空间》插曲),4:35,Hans Zimmer,Inception (Music From The Motion Picture),Walker Cinema
"Main Titles (From ""Blade Runner"")",3:42,Vangelis,Blade Runner - Music From The Original Soundtrack,Walker Cinema
Hummell Gets The Rockets,6:26,Nick Glennie-Smith/Hans Zimmer/Harry Gregson-Williams,The Rock (Original Motion Picture Score),Walker Cinema
Tessa,5:45,Steve Jablonsky,Transformers: Age of Extinction (Music from the Motion Picture),Walker Cinema
The Imitation Game - (电影《模仿游戏》主题曲),2:38,Alexandre Desplat/London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Walker Cinema
Lily's Theme - (电影《哈利.波特与死亡圣器(下)》主题配乐),2:28,Alexandre Desplat,Harry Potter and the Deathly Hallows Part 2 (Original Motion Picture Soundtrack),Walker Cinema
Cornfield Chase - (原野追逐),2:06,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),Walker Cinema
Wakanda,2:20,Ludwig G??ransson/Baaba Maal,Black Panther (Original Score),Walker Cinema
The Terminator (Main Title),2:40,Brad Fiedel,Terminator (Original Motion Picture Soundtrack),Walker Cinema
The Grace of Undómiel [Featuring Renée Fleming],6:21,Howard Shore,The Lord Of The Rings - The Return Of The King - The Complete Recordings (Limited Edition),Walker Cinema
Twenty-Twenty,3:06,PENTAGON,???????????? Part.1,韩剧 Twenty-Twenty bgm
Twenty-Twenty (inst.),3:06,PENTAGON,???????????? Part.1,韩剧 Twenty-Twenty bgm
Red Sun,4:15,Hangzoo/Zico/Swings,?????????? 6 Special,韩剧 Twenty-Twenty bgm
For The Home,2:56,Chillhop Garden,Lofi Garden,韩剧 Twenty-Twenty bgm
To Be Honesty,1:58,Chillobey,To Be Honesty,韩剧 Twenty-Twenty bgm
Fujinohana,2:02,Chillobey,To Be Honesty,韩剧 Twenty-Twenty bgm
UNDER COVER,3:46,A.C.E,UNDER COVER,韩剧 Twenty-Twenty bgm
花与酒 - (2020八一七稻米节活动推广曲),3:50,银临,花与酒,【盗墓笔记】2020八一七稻米节歌单
步戏,4:47,五音Jw,聆音,【盗墓笔记】2020八一七稻米节歌单
雨人,4:10,刘畅,重启之极海听雷OST,【盗墓笔记】2020八一七稻米节歌单
暗光,3:46,赵方婧,重启之极海听雷OST,【盗墓笔记】2020八一七稻米节歌单
不让 (盗墓笔记·重启),4:09,五音Jw/陆深,不让 (盗墓笔记·重启),【盗墓笔记】2020八一七稻米节歌单
别个十年又如何——记南派三叔《盗墓笔记》,5:28,NL不分/不贰音乐,别个十年又如何——记《盗墓笔记》,【盗墓笔记】2020八一七稻米节歌单
我在这里等你 - (《记盗墓笔记·藏海花》),4:23,枯木逢春,我在这里等你,【盗墓笔记】2020八一七稻米节歌单
书中雪,4:20,根小八,书中雪,【盗墓笔记】2020八一七稻米节歌单
书外人，梦中身,3:21,小义学长,书外人，梦中身,【盗墓笔记】2020八一七稻米节歌单
她本身,3:11,肥皂菌丨珉珉的猫咪丨/云の泣/王梓钰/祖娅纳惜,她本身,【盗墓笔记】2020八一七稻米节歌单
宇宙鸿荒——宇宙鸿荒官方应援曲,3:57,sk清风,宇宙鸿荒——宇宙鸿荒官方应援曲,宇宙鸿荒【胡宇桐&田鸿杰】
非典型——赠 宇宙鸿荒（翻自 KBShinya）,4:03,灿鸩/纱琉璃Shelley,非典型——赠 宇宙鸿荒,宇宙鸿荒【胡宇桐&田鸿杰】
宇宙鸿荒||好人生（翻自 麦家瑜）,4:16,子希Lilian,宇宙鸿荒||好人生,宇宙鸿荒【胡宇桐&田鸿杰】
